file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00142_00726.450-00727.350,ཨེ་ནས། གཅིག་མི་འདུག་གེ་ཡ།  ,e nas/_gcig mi 'dug ge ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00142_00726.450-00727.350.wav,STT_TT,3,27,0.8999999999999773,wav16k/STT_TT00142_00726.450-00727.350.wav,ཨེ་ཅིག་མི་འདུག་གེ་ཡ།
STT_TT00142_00727.700-00729.350,ཐུགས་དུས་འདི་བ་གཅིག་གིས་གཅིག་ཡེ་ཁ་མ་གྲག་པ་བྱེད།  ,thugs dus 'di ba gcig gis gcig ye kha ma grag pa byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00142_00727.700-00729.350.wav,STT_TT,3,49,1.6499999999999773,wav16k/STT_TT00142_00727.700-00729.350.wav,ཐུག་དུས་འདི་བ་གཅིག་གིས་གཅིག་ཡེ་ཁ་མ་གྲགས་པ་བྱས།་
STT_TT00056_06209.550-06211.650,ཚོར་བའི་རྐྱེན་གྱིས་སྲེད་པ་ཡིན། ཚོར་བ་དེ་དག་ལ་ཡང་ཡོད། ཟེར།  ,tshor ba'i rkyen gyis sred pa yin/_tshor ba de dag la yang yod/_zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00056_06209.550-06211.650.wav,STT_TT,3,59,2.0999999999994543,wav16k/STT_TT00056_06209.550-06211.650.wav,ཚོར་བའི་རྐྱེན་གྱིས་སྲེད་པ་ཡིན། ཚོར་བ་དེ་དག་ལ་ཡང་ཡོད་ེ།
STT_TT00056_06213.450-06216.850,ད་སྙིང་པོ་དེ། དམིགས་པ་དང་ནི་བཅས་པའི་སེམས། འགའ་ཞིག་ལ་ནི་གནས་པར་འགྱུར།  ,da snying po de/_dmigs pa dang ni bcas pa'i sems/_'ga' zhig la ni gnas par 'gyur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00056_06213.450-06216.850.wav,STT_TT,3,70,3.4000000000005457,wav16k/STT_TT00056_06213.450-06216.850.wav,ད་སྙིང་པོ་དེ། དམིགས་པ་དང་ནི་བཅས་པའི་སེམས། འགའ་ཞིག་ལ་ནི་གནས་པར་འགྱུར།
STT_TT00056_06217.000-06221.400,སྟོང་པ་ཉིད་དང་བྲལ་བའི་སེམས། འགགས་པ་སླར་ཡང་སྐྱེ་འགྱུར་ཏེ། འདུ་ཤེས་མེད་པའི་སྙོམས་འཇུག་བཞིན། དེས་ན་སྟོང་ཉིད་བསྒོམ་པར་བྱ།  ,stong pa nyid dang bral ba'i sems/_'gags pa slar yang skye 'gyur te/_'du shes med pa'i snyoms 'jug bzhin/_des na stong nyid bsgom par bya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00056_06217.000-06221.400.wav,STT_TT,3,119,4.399999999999636,wav16k/STT_TT00056_06217.000-06221.400.wav,སྟོང་པ་ཉིད་དང་བྲལ་བའི་སམ། འགག་པ་སལ་ཡང་སྐྱེ་འགྱུར་ཏེ། འདུ་ཤེས་མེད་པའི་སྙོམས་འཇུག་བཞིན། དེས་ན་སྟོང་ཉིད་བསྒོམ་པར་བྱ།
STT_TT00056_06222.450-06223.550,ཨོ་དེ་འདྲའི་ཡིན་དུས།  ,o de 'dra'i yin dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00056_06222.450-06223.550.wav,STT_TT,3,22,1.1000000000003638,wav16k/STT_TT00056_06222.450-06223.550.wav,ཨོ་དེ་འདྲའི་ཡིན་དུས།
STT_TT00142_00729.550-00730.150,གཉིས་ཀ་ལོ་ཕྱི་ ,gnyis ka lo phyi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00142_00729.550-00730.150.wav,STT_TT,3,15,0.6000000000000227,wav16k/STT_TT00142_00729.550-00730.150.wav,གཉིས་ཀ་ལོ་ཕྱིན་
STT_TT00142_00730.300-00731.000,ཁག་པོ་རེ་ཞིག་འདུག་གོ།  ,khag po re zhig 'dug go/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00142_00730.300-00731.000.wav,STT_TT,3,23,0.7000000000000455,wav16k/STT_TT00142_00730.300-00731.000.wav,ཁག་པོ་རེ་ཅིག་འདུག་ག
STT_TT00142_00732.450-00734.200,དེ་མ་ཐང་མ་བྱས་ནས་འགྲོ་ཡ་མི་འདུག་ག ཧ་ཧུ་སེ་བྱས་ནས་ ,de ma thang ma byas nas 'gro ya mi 'dug ga_ha hu se byas nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00142_00732.450-00734.200.wav,STT_TT,3,50,1.75,wav16k/STT_TT00142_00732.450-00734.200.wav,བདེ་མ་ཐང་པོ་བྱས་ནས་འགྲོ་ཡ་མི་འདུག་ག ཧ་ཧོ་སེ་བྱས་ནས་
STT_TT00056_06223.750-06224.450,ཉོན་མོངས།  ,nyon mongs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00056_06223.750-06224.450.wav,STT_TT,3,11,0.6999999999998181,wav16k/STT_TT00056_06223.750-06224.450.wav,ཉོན་མོངས་
